cellName	geneSymbolmore1
Neural Progenitor cells	"CSPG4,RNF5,EOMES,SOX2,SOX1,NES,PAX3,PAX6,OTX2,CNTNAP1,ASCL1,SMARCA4,MSI1,MSI2"
Neural stem cells	"SOX2,PROM1,NES,SOX9"
Neuroblasts	"NEUROD1,DCX,DLX2,PROX1,EOMES,TUBB3"
Neuroepithelial cells	"NES,SOX2,NOTCH1,HES1,HES3,CDH1,OCLN,SOX10"
Non myelinating Schwann cells	"SOX10,GAP43,NCAM1,NGFR"
Oligodendrocyte precursor cells	"LHFPL3,MEGF11,PCDH15,PDGFRA,CSPG4,RNF5"
Oligodendrocytes	"OLIG1,OLIG2,OLIG3,CLDN11,MBP,MOG,MAG,GALC,CNP,SOX10,FA2H,UGT8"
Radial glial cells	"VIM,NES,PAX6,HES1,HES5,GFAP,SLC1A3,FABP7,TNC,CDH2,SOX2"
Schwann precursor cells	"SOX10,GAP43,FABP7,MPZ,DHH,NGFR"
Serotonergic neurons	"TPH1,SLC6A4,FEV,HTR1A,HTR1B"
Tanycytes	"GPR50,COL23A1"
Airway epithelial cells	"ADH7,AQP1,CDH1,SEC14L3"
Airway goblet cells	"AGR2,AQP5,CEACAM1,DMBT1,DUSP4,FXYD3,GALNT5,GALNT6,GGH,GOLPH3,GP2,IL19,LIPF,LTF,LYNX1,MSLN,MUC16,MUC4,MUC5B,NOS2,PIGR,QSOX1,SCGB3A1,SEC23B,SPDEF,TFF2"
Mesothelial cells	"C2,CALB2,CD44,CDH1,DES,EFEMP1,EPCAM,GSTA3,KRT5,KRT7,KRT72,LGALS7,LRRN4,ME1,ME2,MSLN,MUC16,OSR1,RSPO1,THBD,UPK3B,WT1"
Fibroblasts	"COL3A1,COL5A2,DPT,FN1,GSN,LRP1,PDGFRA,TCF21"
Basal cells (Airway progenitor cells)	"ABI3BP,AQP3,DAPL1,GSTM2,HPGD,ICAM1,KRT14,KRT15,KRT5,PHLDA3,RPS18,SDC1"
Alveolar macrophages	"ABCG1,CCL3,CD36,CLEC7A,CSF2RB,CXCL2,G0S2,GAL,GDA,GNGT2,GPNMB,IL18,IL1B,ITGAX,KLHDC4,MARCO,MCEMP1,MPP1,MRC1,OLR1,PLET1,S100A4,TLR2,TNFAIP2,TRIM25"
Ciliated cells	"APPL2,ATP5MD,CCDC153,CCDC17,CCDC181,CCDC39,CYP2S1,FAM161A,FOXJ1,LRRC23,ODF3B,SCGB1A1,SEC14L3,SNTN,STK11,TMEM212,TSPAN19,TUBB4B"
Clara cells	"AHR,ALDH1A1,BPIFA1,CTSE,CYP2E1,CYP4B1,ERN1,FOXM1,LEPR,MUC1,MUC4,MUC5B,RAB3D,SCGB1A1,SCGB3A1,SCGB3A2,SFTPA1,SFTPC,SFTPD,SYT2"
Immune system cells	"ADGRE1,ARG1,BIRC5,CCL17,CCL18,CD14,CD163,CD19,CD22,CD3D,CD3E,CD3G,CD4,CD44,CD5,CD68,CD74,CD80,CD83,CD86,CD8A,CD8B,CDCA3,CDK1,CEBPE,CR2,CSF1R,EAF2,FCER2,FCGR3A,FLT3,GIMAP3P,HLA-DRA,HMMR,IGHM,IL2RA,ITGAE,ITGAM,ITGAX,LAX1,MS4A14,MZB1,NRP1,NUSAP1,PAX5,PRG2,PTPRC,SLPI,THBD,TNFRSF17,TRBC1,XCR1"
Endothelial cell	"CD34,EGFL7,EMCN,ESAM,FLT1,KDR,MCAM,PECAM1,RAMP2,TEK,VWF"
Epithelial cells	"ANPEP,EPCAM,IL10,IL6R"
Ionocytes	"CFTR,CLCNKB,FOXI1,KCNMA1,SCGB1A1,SLC12A2,TFCP2L1"
Pulmonary alveolar type I cells	"AGER,AKAP5,AQP3,AQP5,CCN2,CLDN18,CLIC5,COL4A3,COL4A4,CRLF1,CYP4B1,EGFL6,EMP2,FSTL3,GPRC5A,HOPX,ICAM1,IGFBP6,KRT7,MEX3B,MMP11,P2RX7,PDPN,PXDC1,RTKN2,SCNN1A,SCNN1B,SCNN1G,SEC14L3,SEMA3B,SEMA3E,SMARCA1,VEGFA"
Pulmonary alveolar type II cells	"ABCA3,ADGRF5,AGER,CD36,CD3G,CEBPA,CLDN18,CRLF1,CTNND1,CXCL2,CXCR2,DDX3Y,EGFL6,ETV5,GRK2,IL1B,INMT,IRX1,LAMP3,LPCAT1,LRG1,MUC1,NAPSA,NKX2-1,NRN1,PGC,PIGR,PPBP,PPP1R14C,RUNX3,S100G,SDC1,SFTA2,SFTPA1,SFTPB,SFTPC,SFTPD,SLC34A2,SOAT1"
Secretory cell	"MUC5B,PIGR,SCGB1A1"
Cardiomyocytes	"SIRPA,VCAM1"
Embryonic stem cells	"ABCG2,ANO6,BCL3,BNIP3,CD24,CD59,CD9,CDH1,CDK8,CTNNB1,DNMT3B,DPPA2,DPPA3,DPPA4,EPCAM,ESRRB,FBXO15,FUT4,FZD1,GAL,GDF3,GJB1,GJB4,GJC1,HES1,HHEX,HMGA2,HOXB5,IL6ST,ITGA4,ITGA6,ITGB1,KCNIP3,KIT,KITLG,KLF4,L1TD1,LEF1,LIFR,LMNA,MYC,NACC1,NANOG,NR6A1,PCGF2,PECAM1,PITX2,PIWIL1,PIWIL2,PIWIL4,PML,PODXL,POU5F1,PRDM5,PROM1,PUM2,SALL4,SLC46A2,SMAD1,SMAD2,SMAD3,SMAD4,SMAD5,SMAD9,SOX15,SOX2,STAT3,SUMO2,TAF8,TDGF1,TEX19,THY1,TRIM28,TRIM6,ZFP42,ZFX,ZIC1"
Epiblast cells	"BCL11A,CDH1,CLDN6,CLDN7,CRMP1,CXCL12,DPYSL5,EPCAM,INA,LEF1,MFAP2,NANOG,POU5F1,SLC35D3,SOX11,TDGF1"
Germ cells	"DAZL,POU5F1"
Hemangioblasts	"ETV2,TAL1"
Mesenchymal stem cell	"ENG,NT5E,THY1"
Neurons	"ARX,IGFBPL1,MAF,NEUROD1,NEUROD6,PLS3"
Trophoblast cells	"ACKR2,ADAM19,ASCL2,CD4,CDX2,DLX3,ELF5,HAND1,HLA-G,HOPX,IGF2,INHBA,KRT7,LIF,MLANA,PARP1,PERP,PHLDA2,PTHLH,S100P,SERPINE1,SIRT1,STAR,TFEB,TNFRSF9,TTPA"
Trophoblast progenitor cells	"FOXO4,ISG20,TFAP2C"
Crypt cells	"ASCL2,AXIN2,BMI1,EPHB2,HOPX,KCNE3,KCNQ1,LGR5,LRIG1,MSI1,OLFM4,PROM1,SLC12A2,SMOC2,TNFRSF19"
Enteric glia cells	"ALDH1A1,ALDH1A3,CXCL14,DHRS3,DKK3,GFAP,GFRA3,INTS6,L1CAM,LGI4,MPZ,NOS2,RGS16,S100B,SLC18A2,SOX10"
Enteric neurons	"AHDC1,ARHGAP26,ARHGEF28,ASTN1,ATF5,CACNA1B,CACNA1E,CARTPT,CASZ1,CCK,CELF6,CHRNA3,CYB561,CYTH3,DMKN,EFNA5,EML5,FBXO7,FILIP1,FLOT2,FSTL5,GAL,GCNT2,GFRA2,GOLGA7B,GPR22,HAND2,HIVEP3,HOXA5,HOXB4,HOXB5,IGF2BP3,JPH3,LIX1,MAP6,MFSD6,MYL1,NMU,PARVA,PHOX2B,PIK3CA,PIRT,PLCE1,PLEKHA5,PPP2R5B,RET,RGMB,RGS3,SCN3A,SCN7A,SLC10A4,SLC18A3,SLC5A7,SLC7A14,SNX21,STXBP5,TAC1,TAFA1,TAFA5,TLX2,TM4SF4,TOX,TSHZ1,TTBK2,TUB,VEZT,VIP,VSTM2L,ZDHHC2"
Enterochromaffin cells	"ADM,AFP,CRH,FGF1,GJB1,LMX1A,PIEZO2,REG4,SLC18A1,TPH1,TRPA1"
Enterocytes	"ABCC2,ABCG2,ABCG5,ABCG8,ABHD11,ACSL5,ALDOB,ALPI,ANPEP,APOA1,APOA4,APOB,APOBEC1,APOC3,AQP1,AQP11,AQP7,AQP8,ART3,ASCL2,ASPN,CA1,CASP6,CBR1,CCL25,CD36,CD55,CDC42EP5,CDH17,CDH19,CDO1,CDX1,CDX2,CEACAM1,CLDN15,COL18A1,COL20A1,CPS1,CREB3L3,CTRB1,CYBRD1,DAB1,DEGS2,DGAT1,DGAT2,DMBT1,DPP4,EHF,ELF3,EPHX2,FABP1,FABP2,FABP6,FAHD1,FBP2,FERMT1,FLOT2,FUOM,G0S2,GATA4,GFRA2,GLS,GSTA1,GSTM3,GULP1,HMOX1,HNF4A,ISX,KHK,KLF5,KRT20,KRTCAP3,L1CAM,LCT,LGALS2,LYPD8,MAOA,MEP1A,MOGAT2,MTTP,MUC13,MYO1A,NKD2,NLRP6,NPC1L1,NR1H4,NR5A2,OTC,PDHA1,PDZK1,PHGR1,PLIN2,PLIN3,PMEPA1,PPARG,PPP1R14D,PRAP1,PRR15L,PRSS2,RBP2,REG3A,RGMB,RNF186,S100G,SDSL,SLC10A2,SLC11A2,SLC15A1,SLC23A1,SLC26A2,SLC26A3,SLC28A1,SLC28A2,SLC2A2,SLC2A5,SLC30A10,SLC35F1,SLC39A5,SLC40A1,SLC51A,SLC51B,SLC5A1,SMOC2,SOX10,SPON2,TM4SF5,TM6SF2,TMC4,TMEM45B,TREH,TRPM6,VDR,VIL1,VNN1"
Enteroendocrine cells	"AFP,ARX,CCK,CHGA,CHGB,CPE,ENPP2,FABP5,FFAR1,FFAR4,GAL,GAST,GCG,GFRA3,GHRL,GIP,IAPP,ISL1,NEUROD1,NEUROG3,NKX2-2,NTS,NUCB2,PAX6,PCSK1,PYY,RIMBP2,SCGN,SCN3A,SCT,SST,SSTR2,TAC1,TRPA1,VEGFA,VWA5B2"
Foveolar cells	"AKR1B10,ANXA10,CLDN18,CLPS,FOXQ1,GKN1,GKN2,GSTA1,IL33,KRT20,LGALS2,LGALS4,MUC1,PGC,PLA2G1B,PSCA,PTGR1,SULT1C2,TFF1,TFF2"
Gastric chief cells	"ANPEP,CHRM3,EGFR,KCNQ1,LGR5,PRKCZ,RAB3D"
Goblet cells	"AGR2,AQP3,ATOH1,BACE2,CDON,CDX2,CLCA1,CREB3L1,FCGBP,GALNT12,GUCA2A,ITLN1,KLK1,KRT20,KRT7,LRRC26,MANF,MUC13,MUC2,MUC4,MUC5B,NLRP6,PDIA5,PHGR1,PLA2G10,REP15,SLC9A8,SPDEF,SPINK4,TFF3,TPSG1,ZG16"
Microfold cells	"AHR,ANXA5,CCL20,CTSD,CTSH,CXCL16,CYBA,EHF,FABP5,FOSL2,FOXP4,GJB2,GP2,IRF2,IRF6,MARCKSL1,MFGE8,MIER3,MTF1,NFIB,NFIC,ONECUT2,PGLYRP1,RAC2,RELB,SOX8,SPIB,TMPRSS2,TNFAIP2,TULP4"
Paneth cells	"ADIPOQ,AGR2,ATG16L1,CFD,CLCA1,CSF2,CTNNB1,DEFA3,DEFA5,DLL1,DLL4,DMBT1,FABP4,GPX2,GUCA2A,GUCA2B,IL4R,ITLN1,KCNN4,KLF15,LGALS2,LGR4,LYZ,MMP7,MPTX1,MUC2,PLA2G2A,PNLIPRP2,PRSS1,RAP1A,REG3G,RETNLB,RIPK2,SPINK4,TM4SF20,WNT3"
Parietal cells	"AQP4,BMI1,CD24,HAMP,HDC,HIP1R,KCNE2,KCNQ1,PODXL,PTCH1,SHH,SLC12A6"
Tuft cells	"ALOX5,ATOH1,AVIL,CAMK2B,CDHR2,DCLK1,ESPN,FABP1,GFI1B,GNG13,IL13RA1,IL17RB,IRF7,KLF3,KLF6,LRMP,NREP,PLCB2,POU2F3,PTGS1,PTPRC,RAC2,RGS2,SOX9,TRPM5,TSLP"
Airway smooth muscle cells	"ACTA2,FOXF1,GATA5,NOG"
Endothelial cell	"CD34,CDH5,PECAM1"
Mesenchymal stem cell	"CD44,ENG,NT5E,THY1"
Muscle satellite cell	"CD82,PAX7"
Myoblasts	"ACHE,ADAM12,ANGPT2,ARL4D,BRAF,CAPN1,CCL2,CDH15,CXCL1,DES,EGFR,ENO3,FGFR4,FLNC,IGF2,LIF,MUSK,MYD88,MYF5,MYOD1,MYOG,NGF,PAX3,PAX7,PDZRN3,SIX1,STK40,TBX3,TNFRSF12A,TPM2,TTN,ZBTB16"
Myocytes	"ACTA1,ACTC1,ACTN2,ACTN3,ADAM12,ANKRD1,ARHGAP26,CAPZA3,CAV3,CDH15,CHODL,CKM,CLOCK,CMKLR1,CXCR4,DES,DLL1,DMD,DOCK1,DOCK5,EDN1,ENO3,FHL2,FLNC,GATA4,GATA5,IL4,IQSEC1,ITGA3,ITGA7,LAMA2,LAMB1,LDB1,LDB3,MEF2A,MEF2B,MEF2D,MMP2,MMP9,MRC1,MSTN,MYF5,MYH14,MYH7,MYL1,MYLPF,MYOD1,MYOG,NBR1,NEB,NID1,NID2,NOTCH3,NPHS1,NPPB,PAX3,PAX7,PLD1,POPDC2,PRKCQ,PTGIR,PTK2,PXN,PYGM,SIX1,SIX4,SULF1,TCAP,THBS4,TNNC1,TNNI1,TNNI2,TNNT1,TNNT3,TPM2,TRIO,TTN,WASHC1,WIPF1,Mdk,Rbp1,Nrep,Mylk,Acta2,Myl9,Mdk1,Cdkn1c1"
Myoepithelial cells	"ACTA2,ACTG2,CD109,CDH3,CNN1,EGFR,FST,GRWD1,KRT14,KRT17,KRT5,LAMB3,LAMC2,MDFI,MME,MYH11,MYL9,MYLK,NGFR,PXN,SERPINB5,SFN,SMIM3,SPHK1,TP63"
Myofibroblasts	"ACTA2,CALD1,CDH11,DES,GFAP,MYL9,PALLD,TAGLN,TNS1"
Pericytes	"ALPG,CSPG4,MCAM,PDGFRA,PDGFRB"
Pulmonary vascular smooth muscle cells	"ANGPT1,PDGFRB"
Satellite cells	"ASB5,BARX2,BMI1,CAV1,CD82,CDCP1,CDH1,CDH15,CXCL1,CXCR4,DMD,ERBB2,FOXK1,GAL,HEYL,HMOX1,HOXC10,IRF2,ISL1,ITGA7,MESP1,MET,MSTN,MYF5,MYOD1,NCAM1,NFATC2,NOTCH3,PAX3,PAX7,PEG3,RUNX1,SCRIB,SIX1,SOX8,SPRY1,SRXN1,TCF21,TNFRSF12A,TRIM32,VAMP2,VCAM1"
Smooth muscle cells	"ACKR3,ACTA2,ACTC1,ACTG2,ADAMDEC1,AKT2,ANGPT1,ANKRD1,AOC3,BGN,CCN3,CNN1,CRABP1,DES,DMPK,EHD2,FABP4,FAS,FBLN5,FHL2,GJA4,GJC1,HEXIM1,HHIP,HSPB6,ITGA1,ITGA8,ITGA9,JPH2,KAT2B,KCNAB1,KCNMB1,KIF1C,LAMB2,LGR6,LMO7,LMOD1,LOX,MAP3K7CL,MFAP5,MRVI1,MSRB3,MUSTN1,MYH11,MYH6,MYL9,MYLK,NEXN,NF2,NOTCH3,NOX4,NRP2,OBSCN,OGN,OTUD1,PCP4L1,PDE4DIP,PDGFD,PLN,PLXNA1,PRXL2C,RASL12,RBPMS2,RGS5,RPL10,RPRM,RRAD,SEC24D,SH3BGR,SLC38A11,SMOC1,SMTN,SNCG,SOD3,SPEG,SPON2,SSPN,TAGLN,TCF21,VASN,WFDC1,WWP2,ZBTB44"
Vascular smooth muscle cells	"ACTA2,MYH11,PDGFRB,SEMA3D,TBX18,WT1"
Keratinocytes	"ANXA8,AQP3,CALML5,CCL2,CD24,CXCL1,DMKN,DSC3,ENTPD2,FGF5,FST,GJB3,ICAM1,IL13RA1,IRF3,IVL,KRT1,KRT10,KRT14,KRT15,KRT16,KRT17,KRT36,KRT5,KRT84,LAMA5,LAMC2,LCN2,LGALS7,NGFR,PI3,PKP1,PKP3,PLEC,REL,RIPK4,S100A14,SBSN,SFN,SGPP1,SIRT7,SPRR1A,SPRR1B,TFAP2A,TGM1,TRIM29"
Langerhans cells	"ACHE,AHR,CCR6,CD1A,CLDN1,EHF,EPCAM,FCGR1A,FCGR2A,GPNMB,HLA-DMA,HLA-DMB,HLA-DQA1,HLA-DQA2,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5,HLA-DRB6,PRKCB,PTPRC,TLR2"
Melanocytes	"AHNAK2,AHR,BMI1,BNC2,CRABP1,CTNS,DCT,DKK3,ENPP1,FILIP1L,GPNMB,HSPB1,KLC2,LOXL2,MEN1,MITF,MLANA,PAX3,PMEL,POMC,PPARA,PPARD,PPARG,PRKCA,PTGDS,PTN,RAB38,SLC45A2,SLK,SOX9,TFAP2A,TP63,TPH2,TRPM1,TYR,TYRP1,ZC3H7A"
Merkel cells	"ATOH1,CD99,CHGA,FLI1,GFI1,GNAI1,ID2,KRT18,KRT20,KRT8,PIEZO2,POU4F3,SOX2,TRPV4,TTF1,VIL1"
Sebocytes	"ADIPOR1,ANGPTL4,CALCA,CAMP,CDH1,CEBPA,CEBPB,CRH,CRHR1,EXO1,F2RL1,FFAR2,IHH,KLF5,KRT7,LTA4H,MUC1,PTGER2,RDH12,SRD5A2"
Trichocytes	"DSG2,HOXC13,KRT81,KRT86"
Cancer cells	"CD44,EPCAM,ERBB2,FOLH1,KRT18,PROM1"
Cancer stem cells	"CD24,CD44,FLOT2"
Cancer stem cells	"ANPEP,CD44,EPCAM,POU5F1,PROM1,THY1"
Cancer cells	EPCAM
Cancer stem cells	"ABCG2,ALCAM,ALDH1A1,BMI1,CD24,CD44,KIT,NANOG,NES,PDPN,POU5F1,PROM1,SOX2,THY1"
Cancer cells	"CD44,MBTPS2,PARP1"
Cancer stem cells	"FUT4,MSI1,NES,PROM1,SOX2,THY1"
Cancer stem cells	EPCAM
